customer_id,tenure,monthly_charges,support_calls,contract_type,payment_method,num_products,age,autopay,customer_segment,churn
1000000,34,61.43,1,month-to-month,electronic,2,75,1,2212,1
1000001,36,15.0,2,month-to-month,electronic,4,69,0,100,0
1000002,54,61.77,2,one-year,electronic,3,60,0,931,1
1000003,68,31.17,2,two-year,electronic,2,41,0,2586,0
1000004,2,49.1,1,month-to-month,credit-card,4,55,1,490,0
1000005,10,133.72,3,one-year,credit-card,2,36,1,3274,0
1000006,59,37.1,4,month-to-month,bank-transfer,4,75,0,2217,0
1000007,68,86.4,2,one-year,mailed,4,24,1,3544,0
1000008,17,85.2,4,month-to-month,mailed,3,56,0,668,1
1000009,22,60.17,3,month-to-month,bank-transfer,3,67,1,1239,0
1000010,62,65.81,2,two-year,electronic,1,21,1,5701,0
1000011,30,48.93,2,month-to-month,electronic,4,30,0,5094,1
1000012,19,124.12,0,month-to-month,credit-card,5,32,1,5218,1
1000013,59,86.27,1,one-year,credit-card,2,56,0,61,0
1000014,18,100.73,2,one-year,bank-transfer,2,59,0,39,0
1000015,29,15.48,0,month-to-month,electronic,3,31,0,2279,0
1000016,46,64.31,0,month-to-month,mailed,5,29,0,4246,0
1000017,39,35.69,4,month-to-month,bank-transfer,5,74,0,5630,0
1000018,6,102.55,1,two-year,bank-transfer,1,72,1,2662,1
1000019,1,60.39,1,one-year,bank-transfer,5,61,1,1105,1
1000020,62,45.56,0,month-to-month,electronic,2,44,1,6433,0
1000021,54,71.9,2,two-year,credit-card,2,43,1,5727,0
1000022,60,74.08,1,month-to-month,credit-card,3,80,1,2405,0
1000023,38,66.33,1,month-to-month,credit-card,1,40,0,5625,1
1000024,58,117.48,1,month-to-month,credit-card,4,80,1,3581,0
1000025,23,98.99,1,two-year,credit-card,1,39,0,4995,0
1000026,32,75.45,3,month-to-month,credit-card,3,70,1,3359,0
1000027,56,87.68,1,one-year,mailed,3,28,0,1818,0
1000028,8,58.48,3,month-to-month,electronic,5,82,1,2741,1
1000029,21,26.53,1,month-to-month,electronic,4,26,1,4962,0
1000030,8,68.48,2,two-year,electronic,5,60,1,6796,0
1000031,32,15.0,2,one-year,electronic,3,54,1,3438,0
1000032,70,97.27,1,month-to-month,electronic,5,25,1,1730,0
1000033,9,55.96,4,month-to-month,electronic,3,50,1,3569,1
1000034,27,15.0,4,one-year,electronic,3,65,0,4994,0
1000035,29,72.83,0,two-year,electronic,5,34,1,5544,0
1000036,65,150.0,0,two-year,electronic,4,56,1,2639,0
1000037,14,48.42,1,one-year,electronic,4,62,1,1305,0
1000038,36,65.06,0,month-to-month,credit-card,1,26,1,269,1
1000039,18,83.87,2,two-year,electronic,3,77,0,518,0
1000040,1,33.16,3,month-to-month,electronic,4,45,0,4752,1
1000041,54,115.91,2,month-to-month,mailed,1,55,1,1570,1
1000042,4,57.83,2,one-year,mailed,2,22,1,2689,1
1000043,20,79.62,0,one-year,credit-card,5,24,1,4231,0
1000044,35,95.57,1,month-to-month,electronic,5,60,0,2474,1
1000045,34,65.9,2,month-to-month,electronic,5,49,1,4938,0
1000046,8,91.53,3,month-to-month,mailed,5,54,1,1601,1
1000047,70,21.94,0,two-year,electronic,1,23,0,5645,0
1000048,53,27.08,1,one-year,electronic,2,62,1,6971,0
1000049,69,75.7,0,month-to-month,mailed,5,28,0,5479,0
1000050,6,48.88,3,month-to-month,bank-transfer,5,20,1,1018,1
1000051,52,50.73,5,two-year,mailed,2,47,1,605,0
1000052,21,69.9,0,two-year,bank-transfer,2,73,0,3516,0
1000053,38,88.6,1,month-to-month,bank-transfer,1,52,1,1745,0
1000054,66,109.91,3,two-year,mailed,5,70,0,718,0
1000055,19,128.5,3,two-year,mailed,3,39,1,3873,0
1000056,52,113.85,1,one-year,bank-transfer,4,53,0,534,0
1000057,11,99.48,0,month-to-month,mailed,5,71,0,4627,0
1000058,23,45.19,2,one-year,bank-transfer,5,41,0,263,0
1000059,69,43.87,2,month-to-month,mailed,5,68,1,3937,0
1000060,30,33.38,3,one-year,mailed,4,18,0,1285,1
1000061,37,58.28,1,month-to-month,electronic,5,73,0,260,1
1000062,21,78.69,1,one-year,electronic,5,71,1,1198,0
1000063,8,132.74,4,one-year,bank-transfer,1,23,0,4986,0
1000064,30,49.61,3,month-to-month,mailed,4,56,1,5762,1
1000065,44,91.27,2,one-year,electronic,1,81,0,5903,0
1000066,32,55.35,0,month-to-month,electronic,5,79,0,1785,0
1000067,55,69.95,3,month-to-month,credit-card,5,81,1,3133,1
1000068,26,17.74,1,month-to-month,mailed,4,50,0,4150,1
1000069,44,145.81,2,month-to-month,electronic,1,29,0,2413,1
1000070,55,79.28,2,month-to-month,electronic,2,38,1,608,0
1000071,66,71.5,0,two-year,credit-card,3,30,0,5085,0
1000072,30,74.01,0,month-to-month,mailed,4,30,1,258,0
1000073,2,28.61,1,one-year,bank-transfer,3,40,0,4656,0
1000074,51,98.72,2,month-to-month,credit-card,2,57,1,5240,1
1000075,38,83.92,0,two-year,credit-card,3,70,1,5539,0
1000076,62,100.44,1,month-to-month,credit-card,5,78,0,6029,1
1000077,33,122.25,3,month-to-month,bank-transfer,2,78,1,632,1
1000078,26,97.4,0,two-year,electronic,3,36,0,5576,0
1000079,4,58.46,5,two-year,electronic,2,73,0,1905,0
1000080,32,64.26,3,two-year,bank-transfer,5,54,0,6780,0
1000081,46,29.42,2,one-year,mailed,4,29,0,5548,0
1000082,55,145.73,1,two-year,credit-card,4,80,0,1516,0
1000083,61,31.01,0,one-year,electronic,3,32,1,4585,0
1000084,15,111.21,0,two-year,bank-transfer,3,42,0,2047,0
1000085,42,46.38,0,month-to-month,bank-transfer,4,72,0,3834,1
1000086,57,81.91,0,month-to-month,credit-card,5,23,0,1236,0
1000087,18,73.28,2,one-year,credit-card,4,46,0,6084,1
1000088,24,43.82,3,two-year,credit-card,4,69,1,1093,0
1000089,60,102.17,1,month-to-month,electronic,1,46,1,1127,0
1000090,41,96.74,4,one-year,electronic,2,32,0,3490,0
1000091,36,78.05,1,one-year,bank-transfer,1,55,1,2544,0
1000092,48,100.79,3,two-year,bank-transfer,5,35,1,2323,1
1000093,36,128.0,1,one-year,mailed,1,83,0,2155,0
1000094,70,39.18,2,month-to-month,bank-transfer,3,24,0,5782,0
1000095,54,58.71,2,month-to-month,credit-card,5,61,1,1081,1
1000096,3,32.37,2,two-year,bank-transfer,5,52,0,2896,0
1000097,10,50.33,3,one-year,mailed,2,21,0,4842,0
1000098,39,64.54,0,month-to-month,electronic,3,39,0,4245,1
1000099,59,64.99,6,one-year,electronic,1,39,1,6488,0
1000100,4,75.63,1,month-to-month,electronic,2,67,0,2260,0
1000101,49,123.51,0,month-to-month,mailed,2,29,1,1,0
1000102,54,100.25,2,one-year,bank-transfer,3,78,1,5234,0
1000103,56,61.39,3,one-year,mailed,1,48,1,6397,0
1000104,62,90.03,3,one-year,credit-card,2,83,1,5554,0
1000105,13,55.71,4,one-year,credit-card,2,22,1,3999,0
1000106,39,103.05,1,two-year,credit-card,2,64,1,5519,0
1000107,57,59.85,3,one-year,electronic,4,41,1,3880,0
1000108,25,68.57,2,month-to-month,electronic,5,21,1,5692,1
1000109,13,29.95,1,month-to-month,bank-transfer,2,75,0,817,1
1000110,34,56.89,0,month-to-month,mailed,1,49,1,2484,1
1000111,5,133.26,1,month-to-month,bank-transfer,3,71,0,4093,1
1000112,15,15.0,1,month-to-month,mailed,4,82,1,5773,0
1000113,61,68.7,3,one-year,mailed,3,76,0,1274,0
1000114,48,51.85,3,month-to-month,bank-transfer,5,55,1,761,0
1000115,62,54.7,1,two-year,credit-card,3,70,0,3552,0
1000116,60,109.61,5,month-to-month,bank-transfer,4,42,1,3399,1
1000117,63,47.45,4,month-to-month,credit-card,3,64,1,2520,0
1000118,22,23.3,3,month-to-month,mailed,4,37,0,6480,0
1000119,33,63.95,0,month-to-month,bank-transfer,2,52,1,1197,0
1000120,44,66.08,1,one-year,electronic,1,54,0,4495,0
1000121,19,89.91,1,two-year,bank-transfer,4,51,1,1750,0
1000122,66,112.88,3,two-year,electronic,3,19,1,1189,0
1000123,0,92.14,0,two-year,credit-card,1,30,1,2640,0
1000124,60,96.02,0,one-year,credit-card,5,77,1,2782,0
1000125,46,49.9,4,two-year,electronic,1,38,0,6272,0
1000126,18,43.34,5,month-to-month,electronic,2,19,1,65,1
1000127,51,78.4,2,month-to-month,bank-transfer,1,62,0,3727,0
1000128,29,86.3,1,month-to-month,mailed,1,80,1,3528,0
1000129,60,94.95,0,month-to-month,electronic,3,54,1,5955,0
1000130,71,85.54,1,two-year,credit-card,5,33,1,5627,0
1000131,20,52.66,0,month-to-month,bank-transfer,1,46,1,1751,0
1000132,33,48.16,1,month-to-month,mailed,3,20,1,2846,0
1000133,15,106.53,0,two-year,credit-card,3,21,1,2937,0
1000134,49,96.59,1,month-to-month,electronic,4,61,1,6938,0
1000135,46,15.0,2,one-year,bank-transfer,1,32,0,2031,0
1000136,60,85.37,4,one-year,bank-transfer,4,34,0,6909,0
1000137,57,82.78,2,one-year,mailed,3,42,1,1757,0
1000138,70,44.81,4,two-year,mailed,1,48,0,3743,0
1000139,69,31.38,3,month-to-month,credit-card,5,82,0,2384,0
1000140,64,95.46,3,month-to-month,bank-transfer,4,76,0,451,0
1000141,10,83.17,2,month-to-month,mailed,5,56,0,3892,1
1000142,3,28.01,0,month-to-month,electronic,5,67,1,1838,0
1000143,34,67.63,1,two-year,bank-transfer,1,19,1,2689,0
1000144,24,106.19,0,month-to-month,mailed,3,57,0,4937,0
1000145,64,56.48,1,one-year,electronic,1,79,0,5320,0
1000146,57,121.07,1,month-to-month,credit-card,3,35,1,3823,0
1000147,30,27.8,0,one-year,bank-transfer,2,74,0,5296,0
1000148,41,109.66,2,month-to-month,bank-transfer,1,42,0,3420,1
1000149,42,62.84,2,two-year,mailed,1,26,1,3904,0
1000150,64,40.47,0,month-to-month,mailed,5,50,1,1093,0
1000151,1,60.14,2,month-to-month,mailed,4,52,1,2121,1
1000152,35,96.14,1,two-year,electronic,1,19,1,4850,0
1000153,48,30.15,1,two-year,credit-card,5,18,1,4094,0
1000154,32,104.04,1,month-to-month,bank-transfer,1,28,1,4775,0
1000155,66,90.79,1,month-to-month,credit-card,4,76,1,1647,0
1000156,68,15.0,2,month-to-month,electronic,4,72,1,111,1
1000157,59,78.45,1,one-year,credit-card,5,42,1,1115,0
1000158,33,106.68,2,month-to-month,electronic,5,64,1,4234,1
1000159,63,47.29,1,month-to-month,electronic,2,37,0,5175,1
1000160,5,15.0,3,two-year,mailed,5,65,1,4200,0
1000161,47,94.72,1,month-to-month,mailed,3,76,0,5455,1
1000162,19,101.83,0,month-to-month,electronic,1,25,1,5271,1
1000163,17,116.72,6,one-year,credit-card,5,74,1,5861,0
1000164,48,39.91,2,month-to-month,electronic,3,30,1,128,0
1000165,55,36.68,3,month-to-month,electronic,4,79,0,5354,1
1000166,63,51.92,1,month-to-month,electronic,5,53,1,3364,0
1000167,15,108.45,5,month-to-month,credit-card,4,53,0,5874,1
1000168,62,39.74,0,one-year,credit-card,3,64,0,2148,0
1000169,59,71.43,1,month-to-month,bank-transfer,5,61,0,3550,0
1000170,22,18.05,2,one-year,credit-card,5,64,0,5166,0
1000171,4,115.09,0,one-year,mailed,2,50,0,3046,0
1000172,55,68.92,1,month-to-month,mailed,3,47,1,5703,1
1000173,59,73.18,3,month-to-month,electronic,3,67,0,6820,1
1000174,33,150.0,3,one-year,electronic,3,71,0,1381,1
1000175,11,101.65,0,month-to-month,credit-card,1,83,1,1598,1
1000176,10,87.6,4,one-year,credit-card,3,58,0,6722,1
1000177,27,70.02,1,two-year,electronic,3,78,0,2315,0
1000178,54,63.86,0,two-year,bank-transfer,3,35,0,1332,0
1000179,22,22.9,1,month-to-month,bank-transfer,3,80,0,5929,0
1000180,2,97.31,1,two-year,credit-card,3,69,1,3842,0
